,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,AETNA INC NEW,COM,00817Y108,154813,2065000,SH,SOLE,2065000,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
1,AETNA INC NEW,COM,00817Y108,34503,460230,SH,SOLE,460230,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
2,AETNA INC NEW,COM,00817Y108,52120,695210,SH,SOLE,695210,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
3,AMDOCS LTD,SHS,G02602103,69042,1486045,SH,SOLE,1486045,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
4,AMDOCS LTD,SHS,G02602103,15253,328300,SH,SOLE,328300,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
5,AMDOCS LTD,SHS,G02602103,22668,487900,SH,SOLE,487900,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
6,AMERICAN CAPITAL AGENCY CORP,COM,02503X105,72576,3377208,SH,SOLE,3377208,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
7,AMERICAN CAPITAL AGENCY CORP,COM,02503X105,16180,752900,SH,SOLE,752900,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
8,AMERICAN CAPITAL AGENCY CORP,COM,02503X105,23815,1108200,SH,SOLE,1108200,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
9,ANADARKO PETE CORP,COM,032511107,121936,1438600,SH,SOLE,1438600,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
10,ANADARKO PETE CORP,COM,032511107,27293,322000,SH,SOLE,322000,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
11,ANADARKO PETE CORP,COM,032511107,39786,469400,SH,SOLE,469400,0,0,2014-03-31,2014Q1,GREENLIGHT CAPITAL INC,0001079114
