,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,ABIOMED,COM,003654100,11672,106797,SH,DFND,5154,0,101643,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
1,ABIOMED,COM,003654100,15828,144823,SH,DFND,144823,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
2,ABIOMED,COM,003654100,21345,195309,SH,DFND,195309,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
3,ABIOMED,COM,003654100,16549,151424,SH,SOLE,151424,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
4,Acacia Reasearch Corp,ACACIA TCH COM,003881307,632,143640,SH,DFND,143640,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
5,Acacia Reasearch Corp,ACACIA TCH COM,003881307,978,222180,SH,SOLE,222180,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
6,Adaptimmune Therapeutics ADR,SPONDS ADR,00653A107,3502,429700,SH,DFND,429700,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
7,Aduro Biotechnology,COM,00739L101,1810,160000,SH,DFND,160000,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
8,Aduro Biotechnology,COM,00739L101,1470,130000,SH,SOLE,130000,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
9,Aerovironment,COM,008073108,2552,91810,SH,DFND,91810,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
10,Aerovironment,COM,008073108,3806,136900,SH,SOLE,136900,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
11,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,2681516,33717038,SH,DFND,16867136,0,16849902,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
12,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,113484,1426938,SH,DFND,1426938,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
13,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,150856,1896844,SH,DFND,1896844,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
14,Alibaba Group Holding Sponsored ADR,SPONSORED ADS,01609W102,701095,8815483,SH,SOLE,7144539,0,1670944,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
15,Alnylam Pharmaceuticals,COM,02043Q107,25481,459207,SH,DFND,459207,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
16,Alnylam Pharmaceuticals,COM,02043Q107,70416,1268984,SH,DFND,956290,0,312694,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
17,Alnylam Pharmaceuticals,COM,02043Q107,18731,337561,SH,DFND,337561,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
18,Alnylam Pharmaceuticals,COM,02043Q107,73497,1324500,SH,SOLE,1241148,0,83352,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
19,Alphabet Inc Class A,CL A,02079K305,14118,20067,SH,DFND,20067,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
20,Alphabet Inc Class A,CL A,02079K305,12070,17156,SH,DFND,11233,0,5923,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
21,Alphabet Inc Class A,CL A,02079K305,68976,98043,SH,SOLE,98043,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
22,Alphabet Inc Class A,CL A,02079K305,15097,21459,SH,DFND,21459,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
23,Alphabet Inc Class C,CL C,02079K107,104998,151710,SH,DFND,151710,0,0,2016-06-30,2016Q2,BAILLIE GIFFORD & CO,0001088875
