,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,AMERICAN EXPRESS CO,COM,025816109,145942,1952142,SH,DFND,1952142,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
1,AMERICAN EXPRESS CO,COM,025816109,1287771,17225400,SH,DFND,17225400,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
2,AMERICAN EXPRESS CO,COM,025816109,62786,839832,SH,DFND,839832,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
3,AMERICAN EXPRESS CO,COM,025816109,145266,1943100,SH,DFND,1943100,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
4,AMERICAN EXPRESS CO,COM,025816109,597679,7994634,SH,DFND,7994634,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
5,AMERICAN EXPRESS CO,COM,025816109,8990330,120255879,SH,DFND,99999999,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
6,AMERICAN EXPRESS CO,COM,025816109,104643,1399713,SH,DFND,1399713,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
7,BANK OF NEW YORK MELLON CORP,COM,064058100,225558,8041300,SH,DFND,8041300,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
8,BANK OF NEW YORK MELLON CORP,COM,064058100,50319,1793915,SH,DFND,1793915,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
9,BANK OF NEW YORK MELLON CORP,COM,064058100,241544,8611200,SH,DFND,8611200,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
10,BANK OF NEW YORK MELLON CORP,COM,064058100,15181,541214,SH,DFND,541214,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
11,BANK OF NEW YORK MELLON CORP,COM,064058100,158662,5656400,SH,DFND,5656400,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
12,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,287406,4817400,SH,DFND,4817400,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
13,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,282392,4733355,SH,DFND,4733355,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
14,COCA COLA CO,COM,191216100,32088,800000,SH,DFND,800000,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
15,COCA COLA CO,COM,191216100,3220159,80283200,SH,DFND,80283200,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
16,COCA COLA CO,COM,191216100,73161,1824000,SH,DFND,1824000,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
17,COCA COLA CO,COM,191216100,578033,14411200,SH,DFND,14411200,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
18,COCA COLA CO,COM,191216100,733147,18278400,SH,DFND,18278400,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
19,COCA COLA CO,COM,191216100,11226436,279891200,SH,DFND,99999999,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
20,COCA COLA CO,COM,191216100,142471,3552000,SH,DFND,3552000,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
21,COCA COLA CO,COM,191216100,38506,960000,SH,DFND,960000,0,0,2013-06-30,2013Q2,BERKSHIRE HATHAWAY INC,0001067983
