title,tags
基于OTSU算法的图像阈值分割技术,Particle Swarm Optimization; 图像分割; 粒子群算法; Chaos method; image segmentation; OTSU; Wolf pack optimization; 混沌法; 狼群优化算法
基于Nginx的高并发访问服务器的研究与应用,机器学习; 负载均衡; machine learning; high concurrency; 高并发; load balancing; Nginx; independent training node; 独立训练节点
3D打印分层方向优化与分层算法研究,3D printing; 3D打印; Slicing algorithm; Slicing direction; STL; STL模型; Volume deviation; 体积误差; 分层方向; 分层算法
基于区块链的档案管理系统的研究与设计,Blockchain; 区块链; RESTful; Digital archives; IPFS; Zabbix; 数字档案
基于LoRaWan的广域物联网技术研究及实现,物联网; Gateaway node; IoT; LoRa technology; LoRaWan protocol; LoRaWan协议; LoRa技术; 网关节点
随机森林自适应特征选择和参数优化算法研究,Feature selection; 特征选择; 随机森林; 参数选择; 粒子群; Group Lasso; Group LASSO; Parameter selection; Particle swarm; Random forest
基于python的Web数据挖掘技术研究与实现,数据挖掘; python; Data mining; 分类算法; classification algorithm; scrapy web crawler; scrapy网络爬虫
基于Word2Vec的中文短文本聚类算法研究与应用,词向量; 特征权重; 情感分析; Sentiment analysis; Feature weights; RWMD distance; RWMD距离; Word vectors
基于随机梯度下降的神经网络权重优化算法,神经网络; Neural network; Adaptive mechanism; Gradient variance; Learning rate; Stochastic Gradient Descent; 学习率; 梯度方差; 自适应机制; 随机梯度下降
基于深度学习的图像分割研究与应用,深度学习; 神经网络; neural network; 图像分割; Deep learning; image segmentation
深度卷积神经网络在OCR问题中的应用研究,Deep Learning; Character Recognition; 字符识别; Character Segmentation; OCR; OCR深度学习; Text Area Detection; 字符切分; 文字区域检测
基于web前端的性能优化框架模型研究,Node.js; Component-based development; Separation; Vue; 前后端分离; 组件化开发
自动化仓储调度系统中多AGV路径规划的研究与实现,避障; 优先级队列; Automated Guided Vehicle; Deadlock; Obstacle Avoidance; Priority Queue; Time window of nodes; 死锁; 自动导引车; 节点时间窗
深度学习下细粒度级别图像的视觉分析研究,深度学习; convolutional neural networks; deep learning; 卷积神经网络; 图像识别; image recognition; 图像检索; few-shot learning; fine-grained images; image retrieval; 少量样本学习; 细粒度级别图像
基于局部中心量度的聚类算法研究,CLA clustering algorithm; CLA聚类算法; Density-based clustering algorithm; LCM clustering algorithm; LCM聚类算法; LGC clustering algorithm; LGC聚类算法; Local centrality measure; Local gravitation model; 密度聚类算法; 局部中心量度; 局部引力模型
基于YOLO的目标检测算法设计与实现,卷积神经网络; Convolutional Neural Network; 目标检测; Object Detection; Dynamic Threshold; YOLO; 动态阈值
基于LSTM和投资者情绪的股票行情预测研究,卷积神经网络; LSTM; CNN; 时间序列; Emotional Features; Stock Price Prediction; Time Series; 情感特征; 股价预测; 长短期记忆模型
朴素贝叶斯算法的改进与应用,Android; 朴素贝叶斯; Na(?)ve Bayes; Phishing Website; Supervised Learning; 安卓; 监督学习; 钓鱼网站
基于进化算法的复杂多目标优化问题求解,特征选择; feature selection; Evolutionary multi-objective optimization; large-scale multi-objective optimization problem; many-objective optimization problem; Pareto front; Pareto前沿面; 大规模多目标优化问题; 进化多目标优化; 高维多目标优化问题
基于区块链的智能合约研究与实现,区块链; PBFT; 隐私保护; blockchain; 智能合约; partially blind signature; privacy preserving; smart contracts; 部分盲签名
神经网络及其组合模型在时间序列预测中的研究与应用,人工神经网络; 数据预处理; Artificial neural network; Combination forecasting model; Data pre-processing; Metaheuristic optimization algorithm; Time series forecasting; 元启发式优化算法; 时间序列预测; 组合预测模型
基于卷积神经网络的小麦叶部病害图像识别研究,卷积神经网络; 特征提取; 图像识别; Convolutional Neural Networks; Feature Extraction; Image Recognition; Wheat Leaf Disease; 小麦叶部病害
基于机器学习的中文文本分类算法的研究与实现,贝叶斯; 卷积神经网络; Feature extraction; 文本分类; Convolutional neural network; Bayes; Classification system; Texts classification; 新闻分类系统; 特征词提取
多源异构数据融合关键技术研究及其应用,数据预处理; D-S证据理论; 数据融合; Basic Probability Assignment Function; Data Fusion; Data Preprocession; Dempster-Shafer Evidence Theory; FCM; 基本概率分配函数
基于深度模型的脱机手写体汉字识别研究,深度学习; 卷积神经网络; Convolutional Neural Network; Deep Learning; Recurrent Neural Network; 递归神经网络; Offline Handwritten Chinese Character Recognition; 脱机手写体汉字识别
基于深度学习和双目视觉的工业机器人抓取方法研究,人工智能; 深层神经网络; 工业机器人; 轨迹规划; 双目视觉; Artificial intellegence; Binocular vision; Deep neural network; grasping detection; Industrial robot; Trajectory planning; 抓取检测
基于Redis分布式存储的负载平衡及性能优化研究,load balance; distributed storage; 分布式存储; 负载平衡; group of balance strategy; the cached map-group strategy; 子集群策略; 缓存分组策略
基于注意力机制和改进型RNN的Web文本情感分析研究,sentiment analysis; 情感分析; RNN; CNN; attention mechanism; Web text; Web文本; 注意力机制
基于word2vec和卷积神经网络的文本分类研究,卷积神经网络; 文本分类; 文本表示; text classification; convolutional neural network; text representation; word2vec
基于知识图谱的农业知识服务系统研究,知识图谱; Agriculture Disease and pest; Agriculture Knowledge Service; Entity Linking; Knowledge Graph; Knowledge Question-Answering; 农业病虫害; 农业知识服务; 实体链接; 知识问答
基于神经网络的电影票房预测模型研究与实现,遗传算法; BP神经网络; Genetic Algorithm; BP Neural Network; Box Office Prediction; 票房预测
高精度GPS定位方法及其在无人机定位系统中应用的研究,GPS; Kalman滤波; UAV; carrier phase; integer ambiguity; Kalman filtering; LAMBDA; 整周模糊度; 载波相位
基于随机森林的不平衡大数据分类算法研究,随机森林; class discrimination degree; cost-sensitive; imbalanced big data; random forest; 不平衡大数据; 代价敏感; 类区分度
网络流量异常检测技术研究与实现,主成分分析; 异常检测; 预测模型; anomaly detection; network traffic; one-class classifier; prediction model; principle component analysis; 一分类器; 网络流量
基于深度学习的目标检测算法研究,深度学习; Deep Learning; 目标检测; Object Detection; Convolutional Network; 卷积网络
基于Redis的分布式Key-Value系统的优化研究,Redis; Optimization; 优化; 分布式; Distributed; Key-Value
基于车载摄像机的前方车辆测距测速方法研究,单目视觉; Distance measurement; Hough Forest; Hough森林; Monocular vision; Vehicle camera calibration; velocity measurement; 测距; 测速; 车载摄像机标定
基于特征选择的文本分类方法研究,机器学习; 文本分类; text classification; sentiment analysis; machine learning; sentiment classification; 情感分类; bi-double direction user interest sets; key feature selection; Text mining; 关键特征选择; 双向用户兴趣集
基于深度神经网络的肿瘤图像分析与处理,Semantic Segmentation; 特征提取; 目标检测; 深度卷积神经网络; Target Detection; Feature Extraction; CAD System; CAD系统; CT Image; CT图像; Deep Convolutional Neural Networks; MR Image; MR图像; Unbalanced Distribution; 分布不均衡; 语义分割
基于多样化内容数据的个性化推荐系统,深度学习; deep learning; collaborative filtering; 协同过滤; 推荐系统; Recommender systems; cross domain recommendation; heterogeneous information; news recommendation; 多样化内容; 新闻推荐; 跨域推荐
基于区块链的数据访问控制方法及应用研究,区块链; 访问控制; Access Control; Block chain; Hyperledger; 超级账本
基于分词频的特征选择算法在文本分类中的研究,Feature selection; 特征选择; 文本分类; Class frequency; Document frequency; Segmented term frequency; Text categorization; 分词频; 文档频率; 类别频率
基于改进MPC的无人车轨迹快速跟踪算法研究与实现,Autonomous Vehicle; Lateral Stability; Model Predict Control; Phase Plane; Side Slip Angle; 侧偏角; 无人驾驶汽车; 模型预测控制; 横向稳定; 相平面
