city,area,profession,professionName,experience,education,wageStart,wageEnd,companyName,companyType,companySize,industry,tags,welfare,url,submitTime
上海,浦东新区,算法工程师,算法/机器学习高级专家,3-5年,本科,30,50,蚂蚁集团,上市公司,2000人以上,科技金融,科技金融; 文本生成; 深度学习; 数据挖掘; 图片识别,“成长空间大、福利待遇好”,https://www.lagou.com/jobs/8655929.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,上海,算法工程师,ai算法工程师,3-5年,硕士,20,35,光鉴科技,A轮,50-150人,其他,人脸识别,“年终奖金 绩效奖金 五险一金 餐饮补贴”,https://www.lagou.com/jobs/8839662.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,打浦桥,算法工程师,算法工程师,1-3年,本科,20,40,循环智能,A轮,50-150人,人工智能、其他,人工智能服务; 自然语言处理,“14-20薪、有期权”,https://www.lagou.com/jobs/8794789.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,青浦区,算法工程师,图形图像算法工程师（OCR）,3-5年,本科,15,25,圆通,上市公司,2000人以上,物流｜运输,物流; 移动互联网,“环境舒适、晋升快速”,https://www.lagou.com/jobs/7047568.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,浦东新区,算法工程师,深度学习算法工程师,1-3年,本科,30,50,海深科技,B轮,15-50人,人工智能服务,优先上海落户; 免费午餐晚餐; 技术大牛众多; 名校名企背景,“落户快 团队背景优秀 福利好”,https://www.lagou.com/jobs/7103523.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,中山公园,算法工程师,高级NLP算法工程师,3-5年,本科,25,40,CraiditX,C轮,50-150人,人工智能服务,人工智能服务; 推荐算法; 自然语言处理; 文本生成; 意图识别,“AI金融 精英团队 技术氛围浓 扁平管理”,https://www.lagou.com/jobs/8824382.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,长寿路,算法工程师,算法工程师,3-5年,本科,25,35,IntraMirror,B轮,150-500人,电商平台、新零售,商品模型; 建模,“跨境奢侈品电商、地铁周边、六险一金、带薪年假”,https://www.lagou.com/jobs/8470921.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,中山公园,算法工程师,ocr算法工程师,3-5年,本科,15,25,CraiditX,C轮,50-150人,人工智能服务,人工智能服务; 图片识别; 文字识别,“AI金融 精英团队 技术氛围浓 扁平管理”,https://www.lagou.com/jobs/8822318.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,徐汇区,算法工程师,11414F-算法工程师,3-5年,硕士,15,30,平安科技,上市公司,2000人以上,科技金融、人工智能服务、软件服务｜咨询,大数据; 数据挖掘,“五险一金、带薪年假、节日福利、绩效奖金”,https://www.lagou.com/jobs/8349616.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,浦东新区,算法工程师,计算机视觉算法工程师,1-3年,硕士,30,50,海深科技,B轮,15-50人,人工智能服务,人工智能服务; 深度学习,“落户快 团队背景优秀 福利好”,https://www.lagou.com/jobs/5701907.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,闵行区,算法工程师,推荐/广告/搜索算法工程师/高级算法工程师,3-5年,硕士,30,60,唯品会,上市公司,2000人以上,电商平台,推荐算法,“发展前景 福利待遇 项目奖金”,https://www.lagou.com/jobs/8839045.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,虹梅路,算法工程师,自动驾驶仿真算法工程师,1-3年,本科,20,35,商汤科技,C轮,2000人以上,人工智能服务、IT技术服务｜咨询,人工智能服务; 深度学习; C++ ; 仿真测试,“AI四小龙 独角兽企业 双休 薪酬福利优”,https://www.lagou.com/jobs/8836494.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,北外滩,算法工程师,计算机视觉算法工程师,3-5年,本科,25,50,特赞|Tezign,C轮,150-500人,营销服务｜咨询,OpenCV; 图像算法; 视频理解; 视频编辑,“AI场景丰富、大牛团队、弹性上下班”,https://www.lagou.com/jobs/8486396.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,崇明县,算法工程师,算法工程师,1-3年,本科,20,40,联合集团,上市公司,2000人以上,移动互联网,新能源汽车制造; 智能硬件; 深度学习; 模式识别; 图像算法; 音频算法,“行业领先、大牛带队、薪资OPEN、有股票期权。”,https://www.lagou.com/jobs/8756917.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,新江湾城,算法工程师,算法工程师,3-5年,本科,20,40,益盟操盘手,上市公司,500-2000人,科技金融,金融; 深度学习,“公司平台大、团队氛围好、福利待遇好”,https://www.lagou.com/jobs/7869667.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,徐汇区,算法工程师,推荐算法工程师,3-5年,本科,25,45,比心陪练,B轮,500-2000人,游戏,带薪年假; 年度旅游; 岗位晋升; 六险一金,“独角兽”,https://www.lagou.com/jobs/8457717.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,北外滩,算法工程师,nlp算法工程师,3-5年,本科,25,50,特赞|Tezign,C轮,150-500人,营销服务｜咨询,中文分词; 信息抽取; 自然语言处理; TensoFlow,“丰富的商业化应用、团队大牛多、极客精神”,https://www.lagou.com/jobs/8245274.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,徐汇区,算法工程师,算法工程师,3-5年,本科,20,30,上海喔趣,D轮及以上,150-500人,移动互联网,深度学习; 机器学习; 机器人,“团队实力强、扁平化管理工作氛围好”,https://www.lagou.com/jobs/8669673.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,虹梅路,算法工程师,数据分析师\算法工程师,1-3年,本科,15,30,假面科技,B轮,150-500人,游戏,游戏; 用户匹配算法; 数据挖掘; 游戏AI研发,“薪资福利、发展前景、 2-6个月年终奖、期权”,https://www.lagou.com/jobs/8333496.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,漕河泾,算法工程师,语音识别算法工程师,3-5年,硕士,35,50,赛舵智能,A轮,50-150人,人工智能服务、软件服务｜咨询,语音合成; 自然语言处理,“发展前景好、团队素质高、股权计划”,https://www.lagou.com/jobs/8183487.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,静安区,算法工程师,算法工程师-运筹优化方向,3-5年,本科,20,40,品览Pinlan,A轮,50-150人,人工智能服务、IT技术服务｜咨询,OI; python,“优质团队 氛围轻松 最高20月+”,https://www.lagou.com/jobs/8446479.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,徐汇区,算法工程师,算法工程师(营销方向数据挖掘),1-3年,本科,20,40,明略科技集团,D轮及以上,2000人以上,数据服务｜咨询、人工智能服务,CTR预估; 虚假流量,“重点项目”,https://www.lagou.com/jobs/8651670.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,浦东新区,算法工程师,音频算法工程师,5-10年,本科,25,50,迅游网络,上市公司,150-500人,工具类产品、游戏,语音识别,“团队氛围NICE、发展前景”,https://www.lagou.com/jobs/8374207.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,徐家汇,算法工程师,算法移植优化工程师,3-5年,本科,20,35,Versa,B轮,50-150人,工具类产品,PyTorch; C/C++; Python,“年终奖丰厚、管理扁平透明”,https://www.lagou.com/jobs/8790540.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,青浦区,算法工程师,算法工程师,3-5年,本科,20,35,圆通,上市公司,2000人以上,物流｜运输,安全大数据; 机器学习,“上市公司、提供住宿、餐补”,https://www.lagou.com/jobs/8169171.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,浦东新区,算法工程师,资深算法工程师,5-10年,本科,25,50,品览Pinlan,A轮,50-150人,人工智能服务、IT技术服务｜咨询,人工智能服务; IT技术服务｜咨询; 深度学习; Python; 计算机视觉; 图像识别,“AI+、大牛多多、成长带回报”,https://www.lagou.com/jobs/8214834.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
上海,长宁区,算法工程师,图像算法工程师,1-3年,本科,30,60,拼多多,上市公司,2000人以上,电商平台,电商平台; 深度学习; 图片识别; 视频/监控分析,“成长快薪资有竞争力团队氛围不错”,https://www.lagou.com/jobs/8834943.html?show=be017a2cf43d4c51a27d54d8387a2ebc,5/21/2021
